GEOID,intersectionality_group,intersectionality_group_id,tangled_properties,at_risk_properties,ratio,tangled_net_equity,at_risk_net_equity,tangled_gross_positive_equity,at_risk_gross_positive_equity,tangled_gross_negative_equity,at_risk_gross_negative_equity,black_population_percentage,median_property_value_total,median_property_value_black,total_properties,total_population
24510010100,Contemporary advantage,2,6,8,0.75,1609063,2378117,1609063,2378117,,,7.1,395000,425000,1389,3035
24510010200,Contemporary advantage,2,9,4,2.25,2390709,747837,2390709,747837,,,4,375000,345000,1411,2858
24510010300,Contemporary advantage,2,4,5,0.8,999348,633188,999348,689567,,-56379,0,325000,325000,1008,2380
24510010400,Excluded from analysis,5,3,4,0.75,582048,903873,582048,903873,,,6.2,375000,445000,1473,2834
24510010500,Contemporary advantage,2,4,4,1,1096251,-69623318,1096251,637652,,-70260970,7.1,355000,325000,746,1888
24510020100,Contemporary advantage,2,2,4,0.5,507702,1033901,507702,1033901,,,11.7,335000,375000,804,1636
24510020200,Contemporary advantage,2,3,4,0.75,785147,775842,785147,775842,,,17.5,355000,355000,741,1678
24510020300,Excluded from analysis,5,2,1,2,1857264,318653,1857264,318653,,,12.3,425000,455000,2152,3761
24510030100,Sustained disadvantage,4,1,2,0.5,195019,271015,195019,271015,,,72.6,305000,295000,1036,2386
24510030200,Contemporary advantage,2,4,8,0.5,1198931,2081536,1198931,2194376,,-112840,18.7,405000,345000,1145,2273
24510040100,Excluded from analysis,5,3,2,1.5,281678,242361,282020,242361,-342,,41.9,225000,235000,3084,5051
24510040200,Excluded from analysis,5,0,0,,,,,,,,60.8,,,261,984
24510060100,Contemporary advantage,2,11,3,3.6666666666666665,1398009,-32145,1442418,80593,-44409,-112738,43.2,255000,255000,916,2653
24510060200,Contemporary advantage,2,12,8,1.5,1684783,600113,1692938,645037,-8155,-44924,41.3,265000,265000,1083,3037
24510060300,Contemporary advantage,2,4,2,2,588121,334470,588121,334470,,,21.4,235000,215000,720,1881
24510060400,Contemporary advantage,2,0,3,0,,570001,,570001,,,40.6,275000,305000,797,1561
24510070100,Sustained disadvantage,4,10,4,2.5,965530,321167,965530,321167,,,91.5,155000,125000,773,2966
24510070200,Sustained disadvantage,4,18,6,3,1952279,611331,1952279,611331,,,55.2,195000,195000,1092,3696
24510070300,Sustained disadvantage,4,10,0,,1671011,,1671011,,,,73.3,245000,245000,293,900
24510070400,Sustained disadvantage,4,1,1,1,114366,199993,114366,199993,,,68.1,285000,125000,770,1601
24510080101,Sustained advantage,1,11,8,1.375,1250628,1291552,1250628,1291552,,,59.8,215000,215000,1261,3869
24510080102,Previous advantage,3,7,3,2.3333333333333335,510437,171342,510437,196897,,-25555,94.8,175000,165000,691,2159
24510080200,Sustained disadvantage,4,38,2,19,3777217,149905,3777217,149905,,,76.4,165000,135000,440,1164
24510080301,Sustained disadvantage,4,27,3,9,2257026,148876,2278954,148876,-21928,,89.4,165000,165000,603,1759
24510080302,Sustained disadvantage,4,48,6,8,5377232,524019,5377232,524019,,,100,185000,195000,1120,2906
24510080400,Sustained disadvantage,4,23,3,7.666666666666667,2590183,166565,2590183,202780,,-36215,91.4,235000,175000,403,1263
24510080500,Sustained disadvantage,4,23,9,2.5555555555555554,1811284,719967,1811284,719967,,,87.9,145000,125000,518,1410
24510080600,Sustained disadvantage,4,47,4,11.75,4246385,314130,4246385,314130,,,88.6,205000,195000,803,1932
24510080700,Sustained disadvantage,4,20,3,6.666666666666667,2512308,441491,2512308,441491,,,70.9,245000,235000,251,604
24510080800,Sustained disadvantage,4,4,1,4,704514,333200,704514,333200,,,83.6,375000,345000,502,1583
24510090100,Excluded from analysis,5,22,9,2.4444444444444446,3126264,1209056,3127355,1209056,-1091,,83.3,225000,225000,1537,3758
24510090200,Sustained advantage,1,15,6,2.5,2818643,722864,2818643,722864,,,62,255000,255000,1173,2756
24510090300,Previous advantage,3,8,10,0.8,1387878,1140004,1387878,1140004,,,76.2,255000,235000,1908,4476
24510090400,Sustained disadvantage,4,3,0,,372227,,372227,,,,71.9,185000,195000,625,1520
24510090500,Contemporary advantage,2,7,3,2.3333333333333335,667285,329726,667285,329726,,,74.8,195000,165000,677,1747
24510090600,Previous advantage,3,16,6,2.6666666666666665,2015992,731832,2036344,731832,-20352,,89.2,215000,195000,911,3010
24510090700,Previous advantage,3,30,3,10,3106472,251148,3144889,251148,-38417,,94.1,185000,175000,1080,2950
24510090800,Sustained disadvantage,4,38,6,6.333333333333333,3872032,538914,3872032,538914,,,85.6,215000,285000,936,2709
24510090900,Sustained disadvantage,4,11,3,3.6666666666666665,1041408,255727,1041408,255727,,,100,225000,195000,966,2691
24510100100,Sustained disadvantage,4,16,1,16,1656336,203883,1656336,203883,,,95.2,185000,185000,824,2259
24510100200,Sustained disadvantage,4,4,1,4,512835,59182,512835,59182,,,93.2,175000,175000,1085,2858
24510100300,Excluded from analysis,5,0,0,,,,,,,,75.6,,,0,3326
24510110100,Contemporary advantage,2,3,4,0.75,274170,535706,274170,535706,,,15.2,235000,235000,2094,3177
24510110200,Contemporary advantage,2,14,6,2.3333333333333335,2684060,1203232,2684060,1203232,,,31,315000,335000,3963,5968
24510120100,Sustained advantage,1,9,13,0.6923076923076923,3646609,4800160,3646609,4800160,,,13.6,425000,275000,2351,4787
24510120201,Excluded from analysis,5,3,4,0.75,447084,682874,447084,682874,,,12.9,375000,335000,848,2227
24510120202,Sustained advantage,1,1,4,0.25,241736,928841,241736,928841,,,14.5,335000,115000,1522,5272
24510120300,Contemporary advantage,2,8,4,2,1499390,-1487087,1499390,276163,,-1763250,39.8,285000,235000,1600,4153
24510120400,Sustained disadvantage,4,3,0,,-22223,,4703,,-26926,,68.8,305000,335000,719,1842
24510120500,Contemporary advantage,2,3,4,0.75,495751,806555,495751,806555,,,49,395000,395000,971,2190
24510120600,Sustained disadvantage,4,1,1,1,207431,293398,207431,293398,,,48.3,425000,495000,1636,2814
24510120700,Contemporary advantage,2,4,8,0.5,560786,1273207,560786,1370429,,-97222,16.5,305000,315000,1022,2207
24510130100,Sustained disadvantage,4,2,3,0.6666666666666666,360217,124414,360217,124414,,,87.5,375000,365000,1426,2558
24510130200,Contemporary advantage,2,4,1,4,739811,103093,739811,103093,,,70,435000,425000,1087,2751
24510130300,Sustained disadvantage,4,13,2,6.5,1814084,189405,1814084,189405,,,84.6,195000,215000,821,2222
24510130400,Previous advantage,3,14,2,7,1508157,151850,1508157,151850,,,88.4,235000,235000,741,2171
24510130600,Contemporary advantage,2,9,8,1.125,1796416,1633004,1796416,1633004,,,2.1,335000,455000,1659,3614
24510130700,Contemporary advantage,2,7,6,1.1666666666666667,1598080,903428,1598080,903428,,,7.3,325000,455000,2477,4734
24510130803,Sustained advantage,1,10,10,1,1850715,1564965,1850715,1564965,,,10.2,305000,395000,1165,2443
24510130804,Contemporary advantage,2,6,3,2,1030249,170452,1030249,170452,,,12.3,315000,215000,946,1993
24510130805,Excluded from analysis,5,0,1,0,,152704,,152704,,,72.8,195000,195000,577,1017
24510130806,Excluded from analysis,5,2,1,2,382563,51091,382563,51091,,,8.8,275000,305000,556,1423
24510140100,Contemporary advantage,2,4,7,0.5714285714285714,1241968,2066923,1241968,2163683,,-96760,30.2,535000,415000,2249,4455
24510140200,Sustained disadvantage,4,8,0,,827295,,827835,,-540,,79,355000,355000,826,2906
24510140300,Sustained disadvantage,4,15,1,15,1780161,74829,1780161,74829,,,90,195000,195000,881,1932
24510150100,Sustained disadvantage,4,13,3,4.333333333333333,1122742,174659,1138677,174659,-15935,,94.8,105000,105000,977,2172
24510150200,Sustained disadvantage,4,48,4,12,3607554,299738,3607554,337858,,-38120,98.1,155000,145000,742,2330
24510150300,Sustained disadvantage,4,29,4,7.25,2437624,192944,2455689,197844,-18065,-4900,96.3,195000,205000,606,2079
24510150400,Excluded from analysis,5,25,4,6.25,2152333,379014,2152535,379014,-202,,90.1,185000,185000,1199,3824
24510150500,Previous advantage,3,10,1,10,1878858,172276,1878858,172276,,,87.6,225000,225000,608,1477
24510150600,Excluded from analysis,5,26,8,3.25,3401148,925831,3401148,925831,,,98.1,225000,225000,1026,2726
24510150701,Previous advantage,3,12,5,2.4,1622691,552461,1622691,552461,,,96.9,265000,215000,587,1599
24510150702,Previous advantage,3,16,5,3.2,2890207,743301,2892334,743301,-2127,,95.3,225000,215000,796,2139
24510150800,Previous advantage,3,18,5,3.6,4288312,930265,4288312,930265,,,88.3,305000,295000,1786,4719
24510150900,Previous advantage,3,26,7,3.7142857142857144,3887587,1074861,3887587,1074861,,,78.8,245000,245000,1276,3371
24510151000,Previous advantage,3,21,8,2.625,3521720,1583874,3521720,1583874,,,85.9,275000,255000,1741,4794
24510151100,Sustained advantage,1,37,11,3.3636363636363638,6278892,2030091,6330995,2089092,-52103,-59001,84.9,275000,275000,2711,7440
24510151200,Sustained disadvantage,4,24,4,6,3165837,341701,3165837,341701,,,95.4,205000,225000,1650,4113
24510151300,Sustained disadvantage,4,23,5,4.6,2900085,390130,2900085,436911,,-46781,87.3,185000,185000,1507,4379
24510160100,Sustained disadvantage,4,18,4,4.5,1617735,594827,1617735,594827,,,79.8,195000,235000,895,1936
24510160200,Sustained disadvantage,4,14,0,,1677029,,1677029,,,,88.3,215000,215000,860,2479
24510160300,Sustained disadvantage,4,11,0,,1004050,,1004050,,,,92.1,215000,215000,392,968
24510160400,Sustained disadvantage,4,61,2,30.5,4976928,159713,4976928,159713,,,96.3,175000,185000,647,1937
24510160500,Sustained disadvantage,4,36,9,4,3695658,1238192,3695658,1238192,,,94.7,195000,195000,1379,3934
24510160600,Sustained disadvantage,4,28,5,5.6,2347794,152848,2347794,331964,,-179116,90.7,155000,135000,1033,3266
24510160700,Sustained disadvantage,4,50,5,10,4482995,316928,4484764,316928,-1769,,93.9,175000,165000,1520,4543
24510160801,Previous advantage,3,31,6,5.166666666666667,4558336,774105,4558336,783697,,-9592,96.6,215000,215000,1174,3052
24510160802,Previous advantage,3,36,9,4,4606379,1151589,4675269,1151589,-68890,,95.1,195000,195000,1072,3368
24510170100,Sustained disadvantage,4,2,2,1,337918,393993,337918,393993,,,78,205000,235000,881,1594
24510170200,Sustained disadvantage,4,0,0,,,,,,,,90.6,445000,,1301,2705
24510170300,Sustained disadvantage,4,3,1,3,422867,209672,422867,209672,,,96.5,255000,255000,809,1767
24510180300,Contemporary advantage,2,11,0,,1131653,,1157621,,-25968,,63,235000,235000,826,1732
24510190100,Sustained disadvantage,4,19,3,6.333333333333333,1995454,467292,1995454,467292,,,87.4,185000,145000,841,2305
24510190200,Sustained disadvantage,4,20,2,10,1814669,421025,1920687,421025,-106018,,46.9,205000,195000,679,1538
24510190300,Sustained disadvantage,4,16,3,5.333333333333333,1298035,279840,1333530,279840,-35495,,66,235000,255000,725,2158
24510200100,Sustained disadvantage,4,23,2,11.5,2012167,77077,2012167,82793,,-5716,94.8,205000,195000,599,1824
24510200200,Sustained disadvantage,4,57,7,8.142857142857142,4297401,529354,4297401,529354,,,85.9,145000,135000,813,2072
24510200300,Sustained disadvantage,4,17,6,2.8333333333333335,1122161,432596,1122161,432596,,,70.6,165000,135000,479,1356
24510200400,Sustained disadvantage,4,12,2,6,819740,113551,819740,113551,,,88.6,145000,155000,494,1519
24510200500,Sustained disadvantage,4,22,6,3.6666666666666665,1576394,418516,1576394,418879,,-363,59.4,125000,125000,936,2709
24510200600,Contemporary advantage,2,20,5,4,2169038,103076,2169038,152898,,-49822,78.7,165000,155000,847,2311
24510200701,Previous advantage,3,44,3,14.666666666666666,4846666,387592,4898182,387592,-51516,,88.2,185000,185000,1798,4797
24510200702,Sustained disadvantage,4,13,6,2.1666666666666665,1618121,542840,1618121,548498,,-5658,92.2,195000,195000,393,1026
24510200800,Sustained disadvantage,4,2,2,1,212970,423675,212970,423675,,,71.3,215000,215000,784,2170
24510210100,Contemporary advantage,2,7,5,1.4,1060946,505238,1060946,505238,,,49.1,235000,235000,969,2470
24510210200,Contemporary advantage,2,12,3,4,1449104,215728,1449104,226945,,-11217,54.4,215000,205000,1344,3529
24510220100,Contemporary advantage,2,5,4,1.25,1602871,1078710,1602871,1078710,,,14.8,455000,285000,2255,4447
24510230100,Contemporary advantage,2,4,2,2,695318,966056,695318,966056,,,27.1,395000,375000,830,1872
24510230200,Contemporary advantage,2,4,2,2,728193,84645,728193,84645,,,3.8,345000,305000,982,1982
24510230300,Contemporary advantage,2,2,8,0.25,350814,812743,350814,1043794,,-231051,6,565000,635000,725,1408
24510240100,Contemporary advantage,2,4,8,0.5,923926,2270764,923926,2270764,,,7.3,525000,405000,1602,3320
24510240200,Contemporary advantage,2,8,2,4,3455396,1108459,3455396,1108459,,,5.8,395000,255000,1455,2746
24510240300,Contemporary advantage,2,0,8,0,,939262,,999098,,-59836,4.4,375000,305000,1012,1977
24510240400,Contemporary advantage,2,6,7,0.8571428571428571,1474729,1701236,1474729,1701236,,,6.2,395000,625000,1156,2721
24510250101,Excluded from analysis,5,10,5,2,1553856,574432,1562296,598285,-8440,-23853,79.5,205000,205000,1633,4116
24510250102,Excluded from analysis,5,5,1,5,572364,38951,572364,38951,,,83.8,205000,205000,1117,2732
24510250103,Excluded from analysis,5,11,4,2.75,1804153,988757,1811219,988757,-7066,,37,205000,205000,1504,3378
24510250203,Excluded from analysis,5,0,0,,,,,,,,95.1,145000,145000,718,1940
24510250204,Excluded from analysis,5,0,0,,,,,,,,91.2,175000,,1476,4312
24510250205,Excluded from analysis,5,14,4,3.5,2035456,482002,2035456,482002,,,35.7,165000,195000,1480,4008
24510250206,Contemporary advantage,2,11,5,2.2,1230830,430045,1230830,430045,,,34.7,165000,185000,855,2250
24510250207,Excluded from analysis,5,0,0,,,,,,,,90.2,155000,205000,835,2337
24510250301,Sustained disadvantage,4,9,3,3,927202,273836,927202,273836,,,75.1,175000,175000,797,2303
24510250303,Contemporary advantage,2,11,3,3.6666666666666665,826609,381083,834089,381083,-7480,,29,145000,155000,808,2229
24510250401,Contemporary advantage,2,2,0,,511489,,511489,,,,19.3,195000,215000,1218,3959
24510250402,Excluded from analysis,5,2,0,,464442,,464442,,,,35.3,205000,215000,1668,4614
24510250500,Excluded from analysis,5,1,0,,225104,,225104,,,,33.9,165000,175000,1687,4252
24510250600,Excluded from analysis,5,0,0,,,,,,,,0,,,0,0
24510260101,Sustained advantage,1,14,4,3.5,1737923,594706,1737923,594706,,,74.7,285000,295000,1869,5116
24510260102,Sustained advantage,1,11,10,1.1,1880936,1305821,1880936,1343712,,-37891,85.9,225000,225000,1707,4775
24510260201,Sustained advantage,1,9,4,2.25,1444268,694517,1462055,694517,-17787,,90,255000,265000,2260,5901
24510260202,Excluded from analysis,5,10,5,2,1015196,617947,1033408,617947,-18212,,78.6,185000,185000,2342,5681
24510260203,Excluded from analysis,5,5,2,2.5,822013,90350,822013,90350,,,89.3,205000,205000,1032,3070
24510260301,Previous advantage,3,13,6,2.1666666666666665,1085732,746279,1091871,746279,-6139,,85.6,185000,175000,1520,4741
24510260302,Excluded from analysis,5,22,9,2.4444444444444446,2548170,1179363,2553732,1179363,-5562,,90.1,175000,175000,2531,6634
24510260303,Excluded from analysis,5,0,0,,,,,,,,74.9,215000,205000,456,969
24510260401,Excluded from analysis,5,0,0,,,,,,,,4.4,85000,,1215,4148
24510260402,Excluded from analysis,5,3,3,1,432229,224489,432229,224489,,,88.4,255000,255000,1263,3315
24510260403,Excluded from analysis,5,0,0,,,,,,,,88.6,195000,195000,741,1764
24510260404,Excluded from analysis,5,7,0,,865518,,865518,,,,9.2,175000,175000,542,2061
24510260501,Contemporary advantage,2,22,13,1.6923076923076923,2986628,2035146,3006608,2035146,-19980,,7.2,205000,195000,1739,5186
24510260604,Excluded from analysis,5,0,1,0,,152659,,152659,,,54.5,185000,255000,496,1492
24510260605,Contemporary advantage,2,6,4,1.5,936814,446723,936814,446723,,,15.6,215000,265000,1732,4947
24510260700,Excluded from analysis,5,8,9,0.8888888888888888,1339984,1579032,1339984,1579032,,,3.9,345000,345000,971,2933
24510260800,Contemporary advantage,2,9,1,9,1165278,192655,1187547,192655,-22269,,15.7,245000,205000,995,2332
24510260900,Contemporary advantage,2,9,13,0.6923076923076923,1854761,1644068,1854761,1815088,,-171020,10.9,405000,375000,1639,3359
24510261000,Contemporary advantage,2,10,3,3.3333333333333335,1032831,581447,1032831,581447,,,38.5,305000,285000,981,2824
24510261100,Contemporary advantage,2,3,3,1,861070,611889,861070,611889,,,2.7,375000,285000,864,1813
24510270101,Sustained advantage,1,3,1,3,344958,257659,344958,257659,,,21.2,285000,195000,604,1638
24510270102,Sustained advantage,1,7,10,0.7,895288,1394201,915722,1416948,-20434,-22747,83.2,265000,275000,1279,3774
24510270200,Sustained advantage,1,3,1,3,773935,2690,773935,2690,,,35.8,285000,275000,713,1870
24510270301,Sustained advantage,1,14,7,2,2829442,1248880,2829442,1248880,,,60.4,315000,315000,1147,3074
24510270302,Sustained advantage,1,3,4,0.75,516572,426770,516572,426770,,,53.3,305000,305000,694,1887
24510270401,Sustained advantage,1,9,8,1.125,1275795,1068159,1525179,1068159,-249384,,73.9,245000,235000,1920,4892
24510270402,Sustained advantage,1,10,5,2,1856570,857192,1856570,857192,,,54.9,295000,285000,1194,3792
24510270501,Sustained advantage,1,3,2,1.5,441316,217111,467739,217111,-26423,,47.4,275000,275000,1594,4010
24510270502,Sustained advantage,1,13,10,1.3,2288322,1727470,2288322,1727470,,,48.3,305000,315000,1760,4229
24510270600,Sustained advantage,1,12,6,2,1514667,1092619,1533459,1092619,-18792,,62.8,275000,275000,1817,5170
24510270701,Excluded from analysis,5,0,0,,,,,,,,92.7,,,1144,2106
24510270702,Sustained advantage,1,1,3,0.3333333333333333,234078,317414,234078,317414,,,65.2,305000,285000,892,1912
24510270703,Sustained advantage,1,0,1,0,,328720,,328720,,,42.9,295000,305000,1168,2996
24510270801,Excluded from analysis,5,14,3,4.666666666666667,1906603,531221,1906603,531221,,,85.7,225000,235000,1591,4087
24510270802,Excluded from analysis,5,15,3,5,2107004,501240,2110336,501240,-3332,,89.2,245000,235000,2167,5154
24510270803,Excluded from analysis,5,10,6,1.6666666666666667,1303841,981831,1303841,981831,,,92.8,235000,245000,2938,6367
24510270804,Sustained advantage,1,8,4,2,2687894,908450,2687894,908450,,,41.9,285000,285000,1360,2990
24510270805,Excluded from analysis,5,32,18,1.7777777777777777,5024508,2725975,5024508,2744686,,-18711,80.2,235000,225000,1972,5584
24510270901,Sustained advantage,1,24,5,4.8,3443399,521113,3488704,526249,-45305,-5136,95.3,235000,235000,1712,4525
24510270902,Sustained advantage,1,16,3,5.333333333333333,2105931,329593,2105931,329593,,,89.6,235000,235000,1425,5091
24510270903,Sustained advantage,1,19,3,6.333333333333333,3630434,354375,3630434,354375,,,77.2,245000,245000,1281,5241
24510271001,Previous advantage,3,14,0,,2058756,,2058756,,,,81.7,205000,215000,883,2515
24510271002,Previous advantage,3,22,3,7.333333333333333,3296602,334771,3337583,334771,-40981,,89.5,225000,225000,1498,4250
24510271101,Excluded from analysis,5,6,6,1,939929,824314,939929,824314,,,30.3,225000,195000,880,1928
24510271102,Sustained advantage,1,2,7,0.2857142857142857,1909586,3556019,1909586,3556019,,,26.4,825000,655000,441,4597
24510271200,Sustained advantage,1,15,15,1,6895178,6493601,6895178,6493601,,,7.3,655000,325000,2143,6282
24510271300,Excluded from analysis,5,6,6,1,3748293,4026757,3748293,4026757,,,19.5,755000,685000,1037,2455
24510271400,Sustained advantage,1,8,11,0.7272727272727273,2735862,6270998,2735862,6270998,,,2.8,675000,505000,1440,4015
24510271501,Excluded from analysis,5,17,5,3.4,6689896,2061034,6689896,2061034,,,13.9,555000,425000,1765,4161
24510271503,Excluded from analysis,5,2,2,1,225192,431119,225192,431119,,,23.1,205000,145000,677,876
24510271600,Sustained disadvantage,4,20,2,10,3074033,378398,3074033,378398,,,91.2,195000,195000,1437,4066
24510271700,Sustained disadvantage,4,44,2,22,5187218,238154,5195089,238154,-7871,,86.2,215000,195000,1803,4624
24510271801,Previous advantage,3,33,6,5.5,4472478,751398,4472478,751398,,,94.2,205000,205000,1243,2700
24510271802,Sustained disadvantage,4,15,3,5,1648328,240172,1686725,240172,-38397,,90,175000,165000,831,2290
24510271900,Sustained advantage,1,28,7,4,5493213,1739256,5493213,1739256,,,57.6,265000,235000,1515,3794
24510272003,Sustained advantage,1,17,7,2.4285714285714284,5782297,1223427,5782297,1223427,,,32.7,415000,215000,1957,6229
24510272004,Excluded from analysis,5,4,3,1.3333333333333333,1462609,654826,1462609,667255,,-12429,28.8,415000,165000,1820,3924
24510272005,Excluded from analysis,5,2,9,0.2222222222222222,795815,1653229,795815,1653229,,,20.7,155000,125000,1265,3378
24510272006,Sustained advantage,1,13,5,2.6,2894026,1124315,2894026,1124315,,,49.2,345000,95000,1642,3488
24510272007,Excluded from analysis,5,3,2,1.5,436954,245307,436954,245307,,,53.3,235000,235000,1830,4747
24510280101,Excluded from analysis,5,21,5,4.2,2643634,683160,2643634,683160,,,69.8,205000,195000,1237,3401
24510280102,Previous advantage,3,10,3,3.3333333333333335,1625880,324233,1625880,324233,,,82.8,265000,255000,2534,6231
24510280200,Sustained advantage,1,1,1,1,253439,323741,253439,323741,,,91.8,315000,315000,1666,5122
24510280301,Excluded from analysis,5,2,3,0.6666666666666666,591234,889041,591234,889041,,,66.6,385000,325000,1911,3912
24510280302,Previous advantage,3,9,0,,1497931,,1497931,,,,92.2,275000,305000,1022,2538
24510280401,Excluded from analysis,5,13,9,1.4444444444444444,2532390,1294219,2532390,1299077,,-4858,71.6,265000,255000,1473,3269
24510280402,Previous advantage,3,32,3,10.666666666666666,4818300,537936,4818300,537936,,,94.8,225000,235000,617,1632
24510280403,Excluded from analysis,5,8,6,1.3333333333333333,1530600,502420,1530600,502420,,,56.5,325000,255000,2205,5468
24510280404,Excluded from analysis,5,8,3,2.6666666666666665,1373673,454386,1373673,454386,,,71.5,225000,205000,1097,2631
24510280500,Sustained disadvantage,4,0,0,,,,,,,,91.6,205000,185000,995,2173
24510280600,Excluded from analysis,5,9,1,9,1293915,175472,1293915,175472,,,85.7,215000,215000,,
